home_team,away_team,p_home_0,p_home_1,p_home_2,p_away_0,p_away_1,p_away_2,home_score,away_score,result_text,bet_value
1. FSV Mainz 05,TSG 1899 Hoffenheim,0.2540375791732554,0.035410872390925996,0.0033733088461612715,0.7603954120582129,0.4180566995715074,0.17349586900943104,5,0,,
FC Bayern München,SC Freiburg,0.7690144839181312,0.43052824596912376,0.18251933349630978,0.04767286661539827,0.001154851958891312,1.87267705369365e-05,4,6,,
Borussia Dortmund,VfB Stuttgart,0.4828540394213423,0.14183241548480574,0.029392449926354702,0.09307303101946696,0.00447229592231857,0.00014444454715256683,4,3,,1.0
VfL Wolfsburg,Bayer 04 Leverkusen,0.5193904744162169,0.16724780980937481,0.038240320740382416,0.7014910083673149,0.3406070035576507,0.12246070214285376,3,3,,1.0
FC Augsburg,Hamburger SV,0.5533456051297221,0.1933554958312892,0.04828485477072675,0.30673992933114713,0.05276405540904372,0.006242016088169877,3,2,,1.0
1. FC Heidenheim 1846,Borussia Mönchengladbach,0.306739929331147,0.05276405540904361,0.006242016088169877,0.4828540394213423,0.14183241548480574,0.029392449926354702,4,4,,1.0
1. FC Köln,Eintracht Frankfurt,0.7390127131126252,0.3884327755027186,0.15296863830203544,0.5478577699184765,0.18896604047791854,0.0465293635968288,3,1,,
RB Leipzig,SV Werder Bremen,0.7390127131126252,0.3884327755027186,0.15296863830203544,0.2540375791732554,0.035410872390925996,0.0033733088461612715,3,4,,1.0
FC St. Pauli 1910,1. FC Union Berlin,0.4828540394213423,0.14183241548480574,0.029392449926354702,0.47006810689064515,0.13355775957018667,0.026714582809009846,2,3,,1.0
OGC Nice,Olympique de Marseille,0.42273309712384877,0.10555348015893051,0.018416222750985978,0.31928760167661463,0.05747514078300486,0.0071265906111568356,2,5,,
Racing Club de Lens,RC Strasbourg Alsace,0.8646647167633873,0.593994150290162,0.3233235838169366,0.38338872844059013,0.08524701471955698,0.01316879821557082,3,3,,1.0
Stade Rennais FC 1901,AS Monaco FC,0.6630807824543885,0.2965422930366355,0.0971614663753303,0.44755787013760295,0.1197350678016752,0.022468961614092176,1,1,,-4.0
Paris Saint-Germain FC,Le Havre AC,0.6280556337598274,0.26019856824756893,0.07829122815908951,0.12354343585095495,0.007966746073058917,0.0003463049888019487,2,2,,
AJ Auxerre,Olympique Lyonnais,0.3267270069847553,0.060377251506196994,0.007692684488460166,0.40990546580751475,0.09864681040928058,0.01655661557897703,1,2,,-4.0
FC Nantes,FC Lorient,0.57562715432305,0.21187900088566436,0.055986935126784765,0.12354343585095495,0.007966746073058917,0.0003463049888019487,0,2,,
Toulouse FC,Angers SCO,0.7922518128563991,0.465790375916455,0.2092849611779274,0.2808392196723484,0.04375324813575976,0.004673142937421049,4,4,,1.0
Stade Brestois 29,FC Metz,0.8421569108651483,0.5507542847700377,0.28176724529762776,0.49958007963942985,0.15313551938980452,0.03321240238031875,2,0,,
Lille OSC,Paris FC,0.701442044373062,0.3405478122965432,0.12242492477776823,0.2648585194083155,0.03866114076472027,0.0038615440503210197,0,7,,
Valencia CF,Levante UD,0.562481395937284,0.20081274504732383,0.05132857246364342,0.49785350313067456,0.15194317233665,0.03280069330311697,3,1,,
Deportivo Alavés,RC Celta de Vigo,0.5148545539318808,0.16394567790097958,0.03703833467510831,0.4236791259235433,0.1060740518056339,0.018559450441341996,1,1,,-4.0
FC Barcelona,Athletic Club,0.7235922921233687,0.3681656183899278,0.1396478947495985,0.12870326330968684,0.008662381102066297,0.0003932043713461564,2,1,,-4.0
